ID	IntroductiontoClinicalMedicine	MusculoskeletalSystem	MedicalNeuroscience	NeuropsychiatryandBehavioralScience	SensorySystem
19044.0	85.42	73.64666666666666	74.76666666666667	74.61	78.39
19045.0	90.63	81.88666666666667	81.00666666666667	81.07	89.545
19046.0	89.58	81.77666666666666	79.01333333333334	78.895	82.57499999999999
19047.0	83.33	72.24666666666667	73.94	74.61	80.83
19048.0	83.33	79.40666666666668	70.54	75.27000000000001	80.89
19049.0	84.38	67.60333333333334	67.18666666666667	75.595	72.78999999999999
19050.0	92.71	77.53	78.02333333333333	80.565	82.785
19051.0	90.63	86.59333333333335	87.72333333333331	85.03	92.345
19052.0	86.46	88.71333333333335	86.29666666666667	86.25	90.25999999999999
19053.0	92.71	89.82	87.44666666666666	84.14	90.93
19054.0	82.29	68.9	73.10333333333334	74.555	77.315
19055.0	91.67	78.78333333333335	78.71666666666665	82.355	84.36
19056.0	93.75	82.73	84.56666666666668	86.19	90.485
19057.0	72.92	68.34000000000002	68.23333333333333	66.25	76.03999999999999
19058.0	82.29	65.36333333333334	61.626666666666665	66.25	70.685
19059.0	92.71	90.55333333333333	90.42	90.48	94.34
19060.0	87.5	70.69	68.71333333333332	70.09	73.77
19061.0	88.54	87.46999999999998	90.49333333333334	88.47999999999999	88.515
19062.0	83.33	64.16333333333334	73.27333333333333	81.46000000000001	84.44
19063.0	87.5	71.19333333333333			
19064.0	88.54	84.56333333333333	82.85333333333334	78.39500000000001	85.525
19065.0	84.38	69.73666666666666	61.120000000000005	63.629999999999995	68.905
19066.0	90.63	90.99666666666667	82.44	84.91	89.935
19067.0	89.58	80.56	79.58333333333333	84.91	87.49000000000001
19068.0	86.46	80.33666666666667	77.03666666666666	76.16	81.0
19069.0	89.58	66.02333333333333	64.14	74.16499999999999	85.55
19070.0	90.63	80.82666666666667	73.96000000000001	81.015	84.10499999999999
19071.0	91.67	80.09666666666668	84.06333333333333	88.42500000000001	88.71000000000001
19072.0	92.71	89.72666666666665	86.21666666666665	88.42500000000001	93.94999999999999
19073.0	94.79	85.38666666666666	85.5	84.52	89.425
19074.0	83.33	79.46666666666667	77.0	80.565	90.32
